sequence,scheduledTimeSec,readStartTimeSec,sampleTimeSec,readDurationSec,startLatenessSec,deadlineMiss,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
1,0,0.000152,0.114902,0.016233,0.000152,1,-0.5,-10.6,-2.6,1.03,0.16,-0.05
2,0.005,0.027412,0.140392,0.014514,0.022412,1,-0.1,-10.6,-2.1,1.03,0.17,-0.03
3,0.01,0.042173,0.147898,0.007314,0.032173,1,-0.4,-10.7,-2.3,1.04,0.18,-0.04
4,0.015,0.049636,0.164193,0.016153,0.034636,1,-0.2,-10.6,-1.7,1.03,0.17,-0.03
5,0.02,0.066285,0.173166,0.008282,0.046285,1,-0.3,-10.8,-2.8,1.04,0.2,-0.02
6,0.025,0.076908,0.180493,0.005224,0.051908,1,-0.5,-10.7,-2.3,1.04,0.18,-0.03
7,0.03,0.082176,0.185318,0.004782,0.052176,1,-0.5,-10.6,-2.4,1.04,0.17,-0.04
8,0.035,0.087009,0.188751,0.003382,0.052009,1,-0.5,-10.7,-2.8,1.03,0.16,-0.05
9,0.04,0.090433,0.192717,0.003923,0.050433,1,-0.5,-10.7,-2.6,1.04,0.16,-0.05
10,0.045,0.0944,0.195857,0.003096,0.0494,1,-0.6,-10.8,-2.6,1.04,0.17,-0.05
11,0.05,0.09753,0.199046,0.003156,0.04753,1,-0.6,-10.8,-2.5,1.04,0.17,-0.05
12,0.055,0.100724,0.201002,0.001917,0.045724,1,-0.7,-10.8,-2.7,1.04,0.18,-0.05
13,0.06,0.10267,0.202912,0.001881,0.04267,1,-0.6,-10.9,-2.5,1.05,0.18,-0.05
14,0.065,0.104578,0.204977,0.002037,0.039578,1,-0.5,-10.8,-2.3,1.05,0.16,-0.04
15,0.07,0.10663,0.207464,0.002472,0.03663,1,-0.4,-10.9,-2.2,1.04,0.16,-0.04
16,0.075,0.109115,0.208875,0.001398,0.034115,1,-0.5,-10.8,-2.2,1.04,0.17,-0.04
17,0.08,0.110526,0.210276,0.001388,0.030526,1,-0.4,-10.8,-1.9,1.04,0.17,-0.04
18,0.085,0.111926,0.212731,0.002444,0.026926,1,-0.5,-10.8,-1.5,1.04,0.16,-0.04
19,0.09,0.114382,0.215191,0.002448,0.024382,1,-0.5,-10.9,-1.7,1.04,0.16,-0.03
20,0.095,0.116844,0.216708,0.001502,0.021844,1,-0.4,-10.9,-2,1.03,0.17,-0.04
21,0.1,0.118363,0.219314,0.00259,0.018363,1,-0.4,-10.8,-1.8,1.03,0.16,-0.04
22,0.105,0.12098,0.220973,0.001631,0.01598,1,-0.4,-10.8,-1.9,1.03,0.16,-0.04
23,0.11,0.12263,0.223629,0.002638,0.01263,1,-0.4,-10.7,-2.1,1.02,0.16,-0.04
24,0.115,0.12529,0.225309,0.001657,0.01029,1,-0.5,-10.8,-2.7,1.02,0.17,-0.05
25,0.12,0.126966,0.226778,0.00145,0.006966,1,-0.6,-10.8,-2.2,1.03,0.16,-0.05
26,0.125,0.128432,0.229174,0.00238,0.00343199999999999,1,-0.6,-10.8,-2.6,1.03,0.18,-0.05
27,0.13,0.130826,0.230591,0.001403,0.000825999999999993,0,-0.5,-10.8,-2.4,1.03,0.17,-0.05
28,0.135,0.135016,0.234882,0.001503,1.59999999999882e-05,0,-0.4,-10.9,-2.6,1.03,0.18,-0.05
29,0.14,0.14,0.240835,0.002473,0,0,-0.3,-10.9,-3.3,1.03,0.2,-0.05
30,0.145,0.145,0.244815,0.001454,0,0,-0.5,-10.9,-3.5,1.02,0.22,-0.04
31,0.15,0.15,0.249915,0.001553,0,0,-0.5,-10.8,-2.9,1.04,0.2,-0.04
32,0.155,0.155,0.255838,0.002477,0,0,-0.5,-10.8,-3.2,1.03,0.21,-0.04
33,0.16,0.16,0.260758,0.002396,0,0,-0.5,-10.7,-2.9,1.04,0.2,-0.04
34,0.165,0.165,0.264894,0.001532,0,0,-0.3,-10.7,-2.5,1.04,0.18,-0.04
35,0.17,0.17,0.270822,0.00246,0,0,-0.5,-10.6,-2.7,1.03,0.19,-0.04
36,0.175,0.175001,0.275763,0.0024,9.99999999973245e-07,0,-0.5,-10.7,-2.6,1.03,0.19,-0.04
37,0.18,0.18,0.279807,0.001445,0,0,-0.4,-10.8,-2.7,1.03,0.19,-0.04
38,0.185,0.185,0.284984,0.001622,0,0,-0.3,-10.8,-2.3,1.04,0.19,-0.03
39,0.19,0.19,0.290861,0.002499,0,0,-0.3,-10.8,-2.4,1.04,0.19,-0.03
40,0.195,0.195,0.294738,0.001376,0,0,-0.1,-10.7,-1.8,1.05,0.17,-0.02
41,0.2,0.2,0.299823,0.001461,0,0,-0.2,-10.6,-2.2,1.04,0.18,-0.03
42,0.205,0.205002,0.305956,0.002594,1.99999999997424e-06,0,-0.2,-10.6,-1.9,1.03,0.17,-0.03
