sequence,scheduledTimeSec,readStartTimeSec,sampleTimeSec,readDurationSec,startLatenessSec,deadlineMiss,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
1,0,0.000176,0.131014,0.016965,0.000176,1,-0.2,-10.8,-2.7,1.04,0.18,-0.03
2,0.005,0.02834,0.156602,0.014465,0.02334,1,-0.2,-10.9,-3.2,1.03,0.18,-0.04
3,0.01,0.043067,0.161163,0.004353,0.033067,1,-0.3,-10.8,-2.4,1.04,0.19,-0.04
4,0.015,0.04758,0.177521,0.016209,0.03258,1,-0.2,-10.8,-2.9,1.03,0.18,-0.04
5,0.02,0.064265,0.183129,0.004907,0.044265,1,-0.2,-10.8,-3.1,1.04,0.19,-0.04
6,0.025,0.070505,0.188394,0.0042,0.045505,1,0,-10.7,-2.6,1.04,0.18,-0.04
7,0.03,0.074724,0.191559,0.003147,0.044724,1,0,-10.8,-2.8,1.04,0.18,-0.04
8,0.035,0.077888,0.193841,0.002265,0.042888,1,0,-10.8,-3,1.04,0.18,-0.04
9,0.04,0.080168,0.195409,0.001553,0.040168,1,-0.1,-10.7,-3,1.04,0.18,-0.04
10,0.045,0.081735,0.196798,0.001376,0.036735,1,-0.1,-10.7,-2.6,1.04,0.18,-0.04
11,0.05,0.083124,0.199218,0.002407,0.033124,1,-0.2,-10.8,-3.1,1.03,0.19,-0.04
12,0.055,0.085543,0.200581,0.001351,0.030543,1,-0.2,-10.8,-2.8,1.04,0.19,-0.04
13,0.06,0.086906,0.201999,0.001405,0.026906,1,-0.2,-10.7,-2.8,1.03,0.18,-0.04
14,0.065,0.088324,0.204403,0.002392,0.023324,1,-0.2,-10.7,-2.8,1.03,0.18,-0.04
15,0.07,0.090727,0.206797,0.002381,0.020727,1,-0.1,-10.8,-2.3,1.04,0.17,-0.03
16,0.075,0.093122,0.208322,0.001512,0.018122,1,-0.1,-10.8,-2,1.04,0.17,-0.03
17,0.08,0.094646,0.209707,0.001373,0.014646,1,-0.1,-10.8,-1.6,1.04,0.16,-0.03
18,0.085,0.096032,0.21211,0.002391,0.011032,1,-0.1,-10.8,-1.6,1.04,0.16,-0.03
19,0.09,0.098434,0.214491,0.00237,0.008434,1,-0.2,-10.8,-1.9,1.05,0.17,-0.03
20,0.095,0.100816,0.215975,0.001472,0.005816,1,-0.2,-10.8,-2.1,1.04,0.18,-0.03
21,0.1,0.102301,0.218437,0.002449,0.002301,0,-0.2,-10.8,-2.1,1.04,0.18,-0.03
22,0.105,0.105005,0.22041,0.001717,5.000000000005e-06,0,-0.2,-10.8,-2.3,1.04,0.18,-0.04
23,0.11,0.11,0.226232,0.002544,0,0,-0.3,-10.7,-2.8,1.03,0.19,-0.04
24,0.115,0.115,0.230134,0.001447,0,0,-0.3,-10.8,-3,1.03,0.19,-0.04
25,0.12,0.12,0.23512,0.001431,0,0,-0.3,-10.8,-2.4,1.03,0.18,-0.03
26,0.125,0.125,0.241286,0.002597,0,0,-0.3,-10.9,-2,1.04,0.17,-0.03
27,0.13,0.13,0.245114,0.001427,0,0,-0.5,-10.9,-2.3,1.04,0.18,-0.04
28,0.135,0.135,0.250086,0.001399,0,0,-0.4,-10.8,-2.6,1.04,0.18,-0.04
29,0.14,0.14,0.255391,0.001703,0,0,-0.3,-10.8,-2.8,1.04,0.17,-0.04
30,0.145,0.145,0.261205,0.002517,0,0,-0.4,-10.8,-3.1,1.03,0.19,-0.04
31,0.15,0.15,0.26511,0.001422,0,0,-0.3,-10.8,-2.7,1.04,0.18,-0.04
32,0.155,0.155,0.27111,0.002422,0,0,-0.3,-10.7,-2.5,1.04,0.18,-0.04
33,0.16,0.16,0.276109,0.002421,0,0,-0.3,-10.8,-2.6,1.04,0.18,-0.03
34,0.165,0.165,0.280065,0.001378,0,0,-0.3,-10.8,-2.6,1.04,0.18,-0.04
35,0.17,0.17,0.285233,0.001545,0,0,-0.3,-10.7,-2.7,1.04,0.18,-0.04
36,0.175,0.175001,0.291185,0.002496,9.99999999973245e-07,0,-0.4,-10.8,-3.1,1.04,0.19,-0.04
37,0.18,0.18,0.295133,0.001445,0,0,-0.4,-10.8,-3.5,1.03,0.19,-0.04
38,0.185,0.185,0.30018,0.001493,0,0,-0.3,-10.8,-2.9,1.04,0.18,-0.04
39,0.19,0.19,0.306169,0.002481,0,0,-0.4,-10.7,-2.6,1.04,0.19,-0.04
